date,origin,dest,pct_leavers,netflow,origin_lat,origin_lon,dest_lat,dest_lon,origin_city,dest_city
2017/1/1,"Fresno, CA","San Luis Obispo, CA",6.80%,323,36.783,-119.7939,35.2669,-120.669,Fresno,San Luis Obispo
2017/1/1,"Fresno, CA","San Diego, CA",5.10%,323,36.783,-119.7939,32.8313,-117.1222,Fresno,San Diego
2017/1/1,"Fresno, CA","Modesto, CA",4.60%,323,36.783,-119.7939,37.6375,-121.0028,Fresno,Modesto
2017/1/1,"Fresno, CA","Portland, OR",3.50%,323,36.783,-119.7939,45.5371,-122.65,Fresno,Portland
2017/1/1,"Houston, TX","Austin, TX",16.60%,-816,29.786,-95.3885,30.3005,-97.7522,Houston,Austin
2017/1/1,"Houston, TX","Dallas, TX",15.20%,-816,29.786,-95.3885,32.7935,-96.7667,Houston,Dallas
2017/1/1,"Houston, TX","San Antonio, TX",9.70%,-816,29.786,-95.3885,29.4632,-98.5238,Houston,San Antonio
2017/1/1,"Houston, TX","Los Angeles, CA",7.70%,-816,29.786,-95.3885,34.1141,-118.4068,Houston,Los Angeles
2017/1/1,"Houston, TX","Denver, CO",5.50%,-816,29.786,-95.3885,39.762,-104.8758,Houston,Denver
2017/1/1,"Houston, TX","Seattle, WA",4.90%,-816,29.786,-95.3885,47.6211,-122.3244,Houston,Seattle
2017/1/1,"Houston, TX","Chicago, IL",4.50%,-816,29.786,-95.3885,41.8375,-87.6866,Houston,Chicago
2017/1/1,"Houston, TX","San Jose, CA",3.80%,-816,29.786,-95.3885,37.3012,-121.848,Houston,San Jose
2017/1/1,"Houston, TX","Washington, DC",2.90%,-816,29.786,-95.3885,38.9047,-77.0163,Houston,Washington
2017/1/1,"Houston, TX","San Diego, CA",2.80%,-816,29.786,-95.3885,32.8313,-117.1222,Houston,San Diego
2017/1/1,"Indianapolis, IN","Chicago, IL",39.00%,-46,39.7771,-86.1458,41.8375,-87.6866,Indianapolis,Chicago
2017/1/1,"Indianapolis, IN","Los Angeles, CA",5.00%,-46,39.7771,-86.1458,34.1141,-118.4068,Indianapolis,Los Angeles
