date,city,state,netflow,lat,lon
2018/7/1,Austin,TX,2983,30.3005,-97.7522
2018/7/1,Tampa,FL,2811,27.9945,-82.4447
2018/7/1,Dallas,TX,2741,32.7935,-96.7667
2018/7/1,Nashville,TN,2603,36.1715,-86.7842
2018/7/1,Las Vegas,NV,2360,36.2333,-115.2654
2018/7/1,Raleigh,NC,2023,35.8324,-78.6429
2018/7/1,Charlotte,NC,2003,35.2083,-80.8303
2018/7/1,Seattle,WA,1560,47.6211,-122.3244
2018/7/1,San Antonio,TX,1455,29.4632,-98.5238
2018/7/1,Boston,MA,1434,42.3188,-71.0852
2018/7/1,Philadelphia,PA,1045,40.0077,-75.1339
2018/7/1,Cape Coral,FL,1026,26.6443,-81.9957
2018/7/1,Jacksonville,FL,933,30.3322,-81.6749
2018/7/1,San Luis Obispo,CA,900,35.2669,-120.669
2018/7/1,North Port,FL,850,27.0576,-82.1977
2018/7/1,Bellingham,WA,662,48.7548,-122.469
2018/7/1,Salt Lake City,UT,659,40.7776,-111.9311
2018/7/1,Urban Honolulu,HI,655,21.3294,-157.846
2018/7/1,Albuquerque,NM,652,35.1054,-106.6465
2018/7/1,Minneapolis,MN,526,44.9635,-93.2678
2018/7/1,Virginia Beach,VA,494,36.7335,-76.0435
2018/7/1,Bakersfield,CA,487,35.3529,-119.0359
2018/7/1,Charleston,SC,465,32.8168,-79.9687
2018/7/1,Fresno,CA,342,36.783,-119.7939
2018/7/1,Salinas,CA,297,36.6883,-121.6317
2018/7/1,Indianapolis,IN,112,39.7771,-86.1458
2018/7/1,Albany,NY,52,42.6664,-73.7987
2018/7/1,Knoxville,TN,16,35.9692,-83.9496
2018/7/1,Detroit,MI,-242,42.3834,-83.1024
2018/7/1,Orlando,FL,-492,28.4773,-81.337
2018/7/1,Houston,TX,-578,29.786,-95.3885
2018/7/1,Milwaukee,WI,-899,43.0642,-87.9675
2018/7/1,Chicago,IL,-3050,41.8375,-87.6866
2018/7/1,Denver,CO,-3290,39.762,-104.8758
2018/7/1,Washington,DC,-6592,38.9047,-77.0163
2018/7/1,Los Angeles,CA,-14129,34.1141,-118.4068
2018/7/1,New York,NY,-23214,40.6943,-73.9249
2018/7/1,San Jose,CA,-28143,37.3012,-121.848
2018/10/1,Sacramento,CA,5879,38.5677,-121.4685
2018/10/1,Phoenix,AZ,5287,33.5722,-112.0892
2018/10/1,Atlanta,GA,4658,33.7628,-84.422
2018/10/1,Portland,OR,4057,45.5371,-122.65
2018/10/1,Seattle,WA,3638,47.6211,-122.3244
2018/10/1,Las Vegas,NV,3181,36.2333,-115.2654
2018/10/1,San Diego,CA,3120,32.8313,-117.1222
2018/10/1,Austin,TX,2982,30.3005,-97.7522
2018/10/1,Miami,FL,2893,25.784,-80.2101
2018/10/1,Dallas,TX,2824,32.7935,-96.7667
2018/10/1,Boston,MA,2472,42.3188,-71.0852
2018/10/1,Nashville,TN,2371,36.1715,-86.7842
2018/10/1,Tampa,FL,2322,27.9945,-82.4447
2018/10/1,Raleigh,NC,1981,35.8324,-78.6429
2018/10/1,Charlotte,NC,1770,35.2083,-80.8303
2018/10/1,San Antonio,TX,1367,29.4632,-98.5238
2018/10/1,Cape Coral,FL,1141,26.6443,-81.9957
2018/10/1,Philadelphia,PA,1031,40.0077,-75.1339
2018/10/1,North Port,FL,976,27.0576,-82.1977
2018/10/1,Jacksonville,FL,897,30.3322,-81.6749
2018/10/1,Salt Lake City,UT,782,40.7776,-111.9311
2018/10/1,San Luis Obispo,CA,723,35.2669,-120.669
2018/10/1,Urban Honolulu,HI,698,21.3294,-157.846
2018/10/1,Bakersfield,CA,660,35.3529,-119.0359
2018/10/1,Albuquerque,NM,639,35.1054,-106.6465
2018/10/1,Charleston,SC,557,32.8168,-79.9687
2018/10/1,Bellingham,WA,526,48.7548,-122.469
2018/10/1,Minneapolis,MN,414,44.9635,-93.2678
2018/10/1,Virginia Beach,VA,368,36.7335,-76.0435
2018/10/1,Salinas,CA,234,36.6883,-121.6317
2018/10/1,Fresno,CA,233,36.783,-119.7939
2018/10/1,Indianapolis,IN,133,39.7771,-86.1458
2018/10/1,Albany,NY,107,42.6664,-73.7987
2018/10/1,Knoxville,TN,-32,35.9692,-83.9496
2018/10/1,Detroit,MI,-163,42.3834,-83.1024
2018/10/1,Houston,TX,-437,29.786,-95.3885
2018/10/1,Orlando,FL,-608,28.4773,-81.337
2018/10/1,Milwaukee,WI,-694,43.0642,-87.9675
2018/10/1,Chicago,IL,-2535,41.8375,-87.6866
2018/10/1,Denver,CO,-2577,39.762,-104.8758
2018/10/1,Washington,DC,-5527,38.9047,-77.0163
2018/10/1,Los Angeles,CA,-14647,34.1141,-118.4068
2018/10/1,New York,NY,-22002,40.6943,-73.9249
2018/10/1,San Jose,CA,-29122,37.3012,-121.848
2019/1/1,Phoenix,AZ,7949,33.5722,-112.0892
2019/1/1,Sacramento,CA,5987,38.5677,-121.4685
2019/1/1,Atlanta,GA,5402,33.7628,-84.422
2019/1/1,Austin,TX,4447,30.3005,-97.7522
2019/1/1,Miami,FL,4400,25.784,-80.2101
2019/1/1,Las Vegas,NV,3987,36.2333,-115.2654
2019/1/1,Dallas,TX,3797,32.7935,-96.7667
2019/1/1,Tampa,FL,3536,27.9945,-82.4447
2019/1/1,San Diego,CA,2817,32.8313,-117.1222
2019/1/1,Raleigh,NC,2482,35.8324,-78.6429
2019/1/1,Charlotte,NC,2397,35.2083,-80.8303
2019/1/1,Nashville,TN,2131,36.1715,-86.7842
2019/1/1,Cape Coral,FL,2085,26.6443,-81.9957
2019/1/1,Portland,OR,1991,45.5371,-122.65
2019/1/1,San Antonio,TX,1887,29.4632,-98.5238
2019/1/1,North Port,FL,1557,27.0576,-82.1977
2019/1/1,Philadelphia,PA,1408,40.0077,-75.1339
2019/1/1,Jacksonville,FL,1337,30.3322,-81.6749
2019/1/1,Orlando,FL,1144,28.4773,-81.337
2019/1/1,Charleston,SC,895,32.8168,-79.9687
2019/1/1,San Luis Obispo,CA,828,35.2669,-120.669
2019/1/1,Urban Honolulu,HI,801,21.3294,-157.846
2019/1/1,Albuquerque,NM,702,35.1054,-106.6465
2019/1/1,Bakersfield,CA,643,35.3529,-119.0359
2019/1/1,Boston,MA,638,42.3188,-71.0852
2019/1/1,Virginia Beach,VA,486,36.7335,-76.0435
2019/1/1,Salt Lake City,UT,470,40.7776,-111.9311
2019/1/1,Salinas,CA,377,36.6883,-121.6317
2019/1/1,Bellingham,WA,374,48.7548,-122.469
2019/1/1,Minneapolis,MN,244,44.9635,-93.2678
2019/1/1,Fresno,CA,211,36.783,-119.7939
2019/1/1,Albany,NY,44,42.6664,-73.7987
2019/1/1,Knoxville,TN,-4,35.9692,-83.9496
2019/1/1,Indianapolis,IN,-114,39.7771,-86.1458
2019/1/1,Houston,TX,-439,29.786,-95.3885
2019/1/1,Detroit,MI,-474,42.3834,-83.1024
2019/1/1,Milwaukee,WI,-796,43.0642,-87.9675
2019/1/1,Seattle,WA,-2039,47.6211,-122.3244
2019/1/1,Denver,CO,-3838,39.762,-104.8758
2019/1/1,Chicago,IL,-4428,41.8375,-87.6866
2019/1/1,Washington,DC,-8543,38.9047,-77.0163
2019/1/1,Los Angeles,CA,-12934,34.1141,-118.4068
2019/1/1,San Jose,CA,-26366,37.3012,-121.848
2019/1/1,New York,NY,-26938,40.6943,-73.9249
2019/4/1,Phoenix,AZ,8208,33.5722,-112.0892
2019/4/1,Sacramento,CA,6799,38.5677,-121.4685
2019/4/1,Atlanta,GA,6113,33.7628,-84.422
2019/4/1,Las Vegas,NV,5686,36.2333,-115.2654
2019/4/1,Austin,TX,5403,30.3005,-97.7522
2019/4/1,Tampa,FL,4210,27.9945,-82.4447
2019/4/1,Dallas,TX,4122,32.7935,-96.7667
2019/4/1,Miami,FL,3967,25.784,-80.2101
2019/4/1,Boston,MA,3834,42.3188,-71.0852
2019/4/1,San Diego,CA,3013,32.8313,-117.1222
2019/4/1,Charlotte,NC,2924,35.2083,-80.8303
2019/4/1,Raleigh,NC,2755,35.8324,-78.6429
2019/4/1,Orlando,FL,2488,28.4773,-81.337
2019/4/1,Portland,OR,2390,45.5371,-122.65
2019/4/1,Nashville,TN,2302,36.1715,-86.7842
2019/4/1,San Antonio,TX,1966,29.4632,-98.5238
2019/4/1,Cape Coral,FL,1878,26.6443,-81.9957
2019/4/1,North Port,FL,1571,27.0576,-82.1977
2019/4/1,Philadelphia,PA,1432,40.0077,-75.1339
2019/4/1,Jacksonville,FL,1374,30.3322,-81.6749
2019/4/1,Charleston,SC,975,32.8168,-79.9687
2019/4/1,San Luis Obispo,CA,953,35.2669,-120.669
2019/4/1,Bakersfield,CA,710,35.3529,-119.0359
2019/4/1,Urban Honolulu,HI,648,21.3294,-157.846
2019/4/1,Albuquerque,NM,591,35.1054,-106.6465
2019/4/1,Salt Lake City,UT,556,40.7776,-111.9311
2019/4/1,Virginia Beach,VA,549,36.7335,-76.0435
2019/4/1,Bellingham,WA,467,48.7548,-122.469
2019/4/1,Salinas,CA,367,36.6883,-121.6317
2019/4/1,Fresno,CA,364,36.783,-119.7939
2019/4/1,Minneapolis,MN,314,44.9635,-93.2678
2019/4/1,Knoxville,TN,150,35.9692,-83.9496
2019/4/1,Albany,NY,77,42.6664,-73.7987
2019/4/1,Indianapolis,IN,-335,39.7771,-86.1458
2019/4/1,Seattle,WA,-392,47.6211,-122.3244
